State,Data Acquisition Time,DO
Andhra Pradesh,10-08-2020 08:30,6.5
Andhra Pradesh,11-10-2020 08:30,6.5
Andhra Pradesh,12-09-2020 08:30,6.2
Andhra Pradesh,01-10-2018 08:30,6.3
Andhra Pradesh,02-05-2018 08:30,6.5
Andhra Pradesh,03-04-2018 08:30,6.4
Andhra Pradesh,04-11-2018 08:30,6
Andhra Pradesh,05-01-2018 08:30,5.4
Andhra Pradesh,06-07-2018 08:30,6
Andhra Pradesh,07-11-2018 08:30,5.8
Andhra Pradesh,08-03-2018 08:30,5.4
Andhra Pradesh,09-11-2018 08:30,7.4
Andhra Pradesh,10-10-2018 08:30,5.8
Andhra Pradesh,11-12-2018 08:30,6.2
Andhra Pradesh,12-10-2018 08:30,7.6
Andhra Pradesh,01-04-2019 08:30,7.1
Andhra Pradesh,15-02-2019 08:30,8
Andhra Pradesh,15-03-2019 08:30,6
Andhra Pradesh,04-07-2019 08:30,7
Andhra Pradesh,05-07-2019 08:30,6.5
Andhra Pradesh,06-12-2019 08:30,6.6
Andhra Pradesh,07-10-2019 08:30,6
Andhra Pradesh,08-07-2019 08:30,6.2
Andhra Pradesh,09-10-2019 08:30,8
Andhra Pradesh,14-10-2019 08:30,6
Andhra Pradesh,11-04-2019 08:30,6.1
Andhra Pradesh,12-12-2019 08:30,7.2
Andhra Pradesh,01-07-2020 08:30,6.5
Andhra Pradesh,02-11-2020 08:30,7.5
Andhra Pradesh,03-05-2020 08:30,8.4
Andhra Pradesh,04-12-2020 08:30,6.2
Andhra Pradesh,05-05-2020 08:30,6.6
Andhra Pradesh,06-09-2020 08:30,6.3
Andhra Pradesh,07-07-2020 08:30,7
Andhra Pradesh,08-12-2020 08:30,6.6
Andhra Pradesh,09-08-2020 08:30,7
Andhra Pradesh,10-07-2020 08:30,6.5
Andhra Pradesh,11-09-2020 08:30,7.2
Andhra Pradesh,12-09-2020 08:30,7.1
Andhra Pradesh,19-01-2018 08:30,6.2
Andhra Pradesh,26-02-2018 08:30,6.4
Andhra Pradesh,03-07-2018 08:30,6
Andhra Pradesh,22-04-2018 08:30,6.3
Andhra Pradesh,16-05-2018 08:30,6.4
Andhra Pradesh,17-06-2018 08:30,6.2
Andhra Pradesh,16-07-2018 08:30,6.2
Andhra Pradesh,08-04-2018 08:30,5.2
Andhra Pradesh,22-09-2018 08:30,5.8
Andhra Pradesh,23-10-2018 08:30,6.5
Andhra Pradesh,20-11-2018 08:30,6.2
Andhra Pradesh,12-11-2018 08:30,7.8
Andhra Pradesh,24-01-2019 08:30,6.5
Andhra Pradesh,16-02-2019 08:30,6.2
Andhra Pradesh,13-03-2019 08:30,6
Andhra Pradesh,04-03-2019 08:30,5.6
Andhra Pradesh,20-05-2019 08:30,7.2
Andhra Pradesh,20-06-2019 08:30,7.3
Andhra Pradesh,18-07-2019 08:30,7
Andhra Pradesh,08-08-2019 08:30,6.8
Andhra Pradesh,09-12-2019 08:30,7
Andhra Pradesh,18-10-2019 08:30,7.8
Andhra Pradesh,14-11-2019 08:30,7.5
Andhra Pradesh,12-06-2019 08:30,8.1
Andhra Pradesh,17-01-2020 08:30,6.3
Andhra Pradesh,13-02-2020 08:30,6.4
Andhra Pradesh,03-11-2020 08:30,6.8
Andhra Pradesh,04-11-2020 08:30,6.8
Andhra Pradesh,14-05-2020 08:30,7.5
Andhra Pradesh,06-12-2020 08:30,7.7
Andhra Pradesh,14-07-2020 08:30,6.4
Andhra Pradesh,08-11-2020 08:30,6.5
Andhra Pradesh,14-09-2020 08:30,7.3
Andhra Pradesh,10-08-2020 08:30,6.3
Andhra Pradesh,11-10-2020 08:30,6.2
Andhra Pradesh,12-09-2020 08:30,6.2
Andhra Pradesh,01-10-2018 08:30,6.2
Andhra Pradesh,02-05-2018 08:30,6.8
Andhra Pradesh,03-04-2018 08:30,6.5
Andhra Pradesh,04-11-2018 08:30,6
Andhra Pradesh,05-01-2018 08:30,5.2
Andhra Pradesh,06-07-2018 08:30,5.5
Andhra Pradesh,07-11-2018 08:30,5.6
Andhra Pradesh,08-03-2018 08:30,5.7
Andhra Pradesh,09-11-2018 08:30,5.3
Andhra Pradesh,10-10-2018 08:30,5.9
Andhra Pradesh,11-12-2018 08:30,4.4
Andhra Pradesh,12-10-2018 08:30,5.2
Andhra Pradesh,01-04-2019 08:30,5.7
Andhra Pradesh,15-02-2019 08:30,7.2
Andhra Pradesh,15-03-2019 08:30,6.2
Andhra Pradesh,04-07-2019 08:30,6.2
Andhra Pradesh,05-07-2019 08:30,7.4
Andhra Pradesh,06-12-2019 08:30,6.8
Andhra Pradesh,07-10-2019 08:30,5.8
Andhra Pradesh,08-07-2019 08:30,6.6
Andhra Pradesh,09-10-2019 08:30,6.4
Andhra Pradesh,14-10-2019 08:30,6.5
Andhra Pradesh,11-04-2019 08:30,6.4
Andhra Pradesh,12-12-2019 08:30,7.7
Andhra Pradesh,01-07-2020 08:30,7.5
Andhra Pradesh,02-11-2020 08:30,5.9
Andhra Pradesh,03-05-2020 08:30,6.5
Andhra Pradesh,04-12-2020 08:30,6.4
Andhra Pradesh,05-05-2020 08:30,7
Andhra Pradesh,06-09-2020 08:30,6.6
Andhra Pradesh,07-07-2020 08:30,6.5
Andhra Pradesh,08-12-2020 08:30,6
Andhra Pradesh,09-08-2020 08:30,6.3
Andhra Pradesh,10-07-2020 08:30,6.5
Andhra Pradesh,11-09-2020 08:30,8
Andhra Pradesh,12-09-2020 08:30,6.1
Andhra Pradesh,01-10-2018 08:30,6
Andhra Pradesh,02-05-2018 08:30,6.5
Andhra Pradesh,03-04-2018 08:30,6.2
Andhra Pradesh,04-11-2018 08:30,6.2
Andhra Pradesh,05-01-2018 08:30,5.4
Andhra Pradesh,06-07-2018 08:30,6.2
Andhra Pradesh,07-11-2018 08:30,5.3
Andhra Pradesh,08-03-2018 08:30,5.6
Andhra Pradesh,09-11-2018 08:30,7
Andhra Pradesh,10-10-2018 08:30,5.9
Andhra Pradesh,11-12-2018 08:30,4.5
Andhra Pradesh,12-10-2018 08:30,5.3
Andhra Pradesh,01-04-2019 08:30,5.6
Andhra Pradesh,15-02-2019 08:30,5.1
Andhra Pradesh,15-03-2019 08:30,6.4
Andhra Pradesh,04-07-2019 08:30,6.5
Andhra Pradesh,05-07-2019 08:30,6.8
Andhra Pradesh,06-12-2019 08:30,6.9
Andhra Pradesh,07-10-2019 08:30,6.5
Andhra Pradesh,08-07-2019 08:30,6.6
Andhra Pradesh,09-10-2019 08:30,6.8
Andhra Pradesh,14-10-2019 08:30,7.7
Andhra Pradesh,11-04-2019 08:30,6.6
Andhra Pradesh,12-12-2019 08:30,7.8
Andhra Pradesh,01-07-2020 08:30,7.8
Andhra Pradesh,02-11-2020 08:30,6.5
Andhra Pradesh,03-05-2020 08:30,8.5
Andhra Pradesh,04-12-2020 08:30,6.8
Andhra Pradesh,05-05-2020 08:30,7.2
Andhra Pradesh,06-09-2020 08:30,7.2
Andhra Pradesh,07-07-2020 08:30,6.8
Andhra Pradesh,08-12-2020 08:30,6.2
Andhra Pradesh,09-08-2020 08:30,6.8
Andhra Pradesh,10-07-2020 08:30,7
Andhra Pradesh,11-09-2020 08:30,8.5
Andhra Pradesh,12-09-2020 08:30,7.8
Andhra Pradesh,17-01-2020 08:30,2.8
Andhra Pradesh,06-12-2020 08:30,0.5
Andhra Pradesh,14-07-2020 08:30,0.1
Andhra Pradesh,08-11-2020 08:30,1
Andhra Pradesh,15-09-2020 08:30,3.8
Andhra Pradesh,10-07-2020 08:30,2
Andhra Pradesh,11-09-2020 08:30,6.8
Andhra Pradesh,21-12-2020 08:30,1.8
Andhra Pradesh,27-05-2019 08:30,7
Andhra Pradesh,18-07-2019 08:30,5.2
Andhra Pradesh,25-08-2019 08:30,2
Andhra Pradesh,18-09-2019 08:30,5.5
Andhra Pradesh,14-11-2019 08:30,3.8
Andhra Pradesh,12-06-2019 08:30,0.8
Andhra Pradesh,17-01-2020 08:30,5
Andhra Pradesh,14-02-2020 08:30,1.8
Andhra Pradesh,04-10-2020 08:30,0.8
Andhra Pradesh,06-12-2020 08:30,1
Andhra Pradesh,08-11-2020 08:30,1.2
Andhra Pradesh,15-09-2020 08:30,4.5
Andhra Pradesh,10-07-2020 08:30,1.5
Andhra Pradesh,11-09-2020 08:30,7
Andhra Pradesh,21-12-2020 08:30,1.6
Andhra Pradesh,27-05-2019 08:30,6
Andhra Pradesh,13-06-2019 08:30,4.5
Andhra Pradesh,18-07-2019 08:30,4.3
Andhra Pradesh,18-08-2019 08:30,5.4
Andhra Pradesh,18-09-2019 08:30,5
Andhra Pradesh,18-10-2019 08:30,5
Andhra Pradesh,14-11-2019 08:30,4
Andhra Pradesh,12-06-2019 08:30,7.3
Andhra Pradesh,17-01-2020 08:30,7
Andhra Pradesh,14-02-2020 08:30,0.8
Andhra Pradesh,03-10-2020 08:30,3.5
Andhra Pradesh,04-10-2020 08:30,6
Andhra Pradesh,14-05-2020 08:30,2.4
Andhra Pradesh,06-12-2020 08:30,4.5
Andhra Pradesh,15-07-2020 08:30,2.7
Andhra Pradesh,08-11-2020 08:30,4.9
Andhra Pradesh,15-09-2020 08:30,4.8
Andhra Pradesh,10-07-2020 08:30,5.8
Andhra Pradesh,11-10-2020 08:30,6.5
Andhra Pradesh,21-12-2020 08:30,4
Andhra Pradesh,17-01-2020 08:30,5.4
Andhra Pradesh,24-02-2020 08:30,5.2
Andhra Pradesh,03-05-2020 08:30,4.8
Andhra Pradesh,14-04-2020 08:30,5
Andhra Pradesh,05-10-2020 08:30,4.8
Andhra Pradesh,22-06-2020 08:30,5.2
Andhra Pradesh,07-08-2020 08:30,5.4
Andhra Pradesh,17-08-2020 08:30,5.2
Andhra Pradesh,09-09-2020 08:30,5.4
Andhra Pradesh,15-10-2020 08:30,5.8
Andhra Pradesh,11-05-2020 08:30,5.2
Andhra Pradesh,12-08-2020 08:30,5.4
Andhra Pradesh,03-11-2020 08:30,5.6
Andhra Pradesh,04-11-2020 08:30,5.6
Andhra Pradesh,10-07-2020 08:30,3.8
Andhra Pradesh,03-11-2020 08:30,5.6
Andhra Pradesh,04-11-2020 08:30,5.6
Andhra Pradesh,10-07-2020 08:30,4.2
Andhra Pradesh,10-06-2018 08:30,1
Andhra Pradesh,11-01-2018 08:30,1
Andhra Pradesh,01-05-2019 08:30,1
Andhra Pradesh,02-08-2019 08:30,1
Andhra Pradesh,01-11-2020 08:30,0.1
Andhra Pradesh,02-11-2020 08:30,0.1
Andhra Pradesh,03-10-2020 08:30,0.1
Andhra Pradesh,13-04-2020 08:30,1.2
Andhra Pradesh,05-06-2020 08:30,0.1
Andhra Pradesh,06-10-2020 08:30,0.1
Andhra Pradesh,07-03-2020 08:30,0.1
Andhra Pradesh,19-08-2020 08:30,0.3
Andhra Pradesh,09-01-2020 08:30,0.3
Andhra Pradesh,10-08-2020 08:30,0.3
Andhra Pradesh,11-10-2020 08:30,0.3
Andhra Pradesh,01-10-2018 08:30,5.6
Andhra Pradesh,02-07-2018 08:30,5.1
Andhra Pradesh,22-03-2018 08:30,5.5
Andhra Pradesh,04-03-2018 08:30,5.8
Andhra Pradesh,05-09-2018 08:30,5.7
Andhra Pradesh,06-06-2018 08:30,5
Andhra Pradesh,07-11-2018 08:30,5.4
Andhra Pradesh,08-03-2018 08:30,5.2
Andhra Pradesh,09-05-2018 08:30,5.6
Andhra Pradesh,10-04-2018 08:30,6
Andhra Pradesh,11-01-2018 08:30,6.6
Andhra Pradesh,12-06-2018 08:30,6
Andhra Pradesh,01-05-2019 08:30,6
Andhra Pradesh,02-07-2019 08:30,5.8
Andhra Pradesh,03-11-2019 08:30,5.8
Andhra Pradesh,18-04-2019 08:30,5.6
Andhra Pradesh,05-06-2019 08:30,4.9
Andhra Pradesh,06-04-2019 08:30,5
Andhra Pradesh,07-09-2019 08:30,5.1
Andhra Pradesh,08-07-2019 08:30,4.8
Andhra Pradesh,20-09-2019 08:30,5.4
Andhra Pradesh,21-10-2019 08:30,4.6
Andhra Pradesh,22-11-2019 08:30,4.4
Andhra Pradesh,12-06-2019 08:30,5.8
Andhra Pradesh,01-10-2020 08:30,4.8
Andhra Pradesh,02-06-2020 08:30,4.3
Andhra Pradesh,03-10-2020 08:30,4.3
Andhra Pradesh,14-04-2020 08:30,4.2
Andhra Pradesh,05-05-2020 08:30,4
Andhra Pradesh,06-09-2020 08:30,4.1
Andhra Pradesh,07-03-2020 08:30,5.2
Andhra Pradesh,08-08-2020 08:30,6.1
Andhra Pradesh,17-09-2020 08:30,6
Andhra Pradesh,10-09-2020 08:30,7.5
Andhra Pradesh,11-04-2020 08:30,6.8
Andhra Pradesh,29-12-2020 08:30,6.1
Andhra Pradesh,07-06-2020 08:30,0.9
Andhra Pradesh,08-07-2020 08:30,1.7
Andhra Pradesh,09-04-2020 08:30,0.3
Andhra Pradesh,11-05-2020 08:30,0.3
Andhra Pradesh,01-10-2018 08:30,3.7
Andhra Pradesh,02-07-2018 08:30,4
Andhra Pradesh,21-03-2018 08:30,3.3
Andhra Pradesh,04-04-2018 08:30,2.4
Andhra Pradesh,05-10-2018 08:30,2
Andhra Pradesh,06-06-2018 08:30,2.8
Andhra Pradesh,07-11-2018 08:30,1.9
Andhra Pradesh,08-03-2018 08:30,3.2
Andhra Pradesh,09-06-2018 08:30,2.1
Andhra Pradesh,10-05-2018 08:30,2
Andhra Pradesh,11-01-2018 08:30,3.7
Andhra Pradesh,12-04-2018 08:30,2.1
Andhra Pradesh,01-05-2019 08:30,2.2
Andhra Pradesh,02-08-2019 08:30,2
Andhra Pradesh,03-11-2019 08:30,1.8
Andhra Pradesh,18-04-2019 08:30,1.6
Andhra Pradesh,05-06-2019 08:30,1
Andhra Pradesh,07-09-2019 08:30,1.2
Andhra Pradesh,22-09-2019 08:30,1
Andhra Pradesh,21-11-2019 08:30,1.2
Andhra Pradesh,07-07-2020 08:30,0.1
Andhra Pradesh,19-08-2020 08:30,0.3
Andhra Pradesh,09-01-2020 08:30,0.3
Andhra Pradesh,10-08-2020 08:30,3.7
Andhra Pradesh,11-10-2020 08:30,4.6
Andhra Pradesh,12-08-2020 08:30,2.2
Andhra Pradesh,15-11-2019 08:30,3
Andhra Pradesh,12-09-2019 08:30,2.8
Andhra Pradesh,01-09-2020 08:30,2.2
Andhra Pradesh,02-08-2020 08:30,2
Andhra Pradesh,16-03-2020 08:30,2.2
Andhra Pradesh,13-04-2020 08:30,3.8
Andhra Pradesh,07-08-2020 08:30,1.7
Andhra Pradesh,08-07-2020 08:30,3.2
Andhra Pradesh,09-07-2020 08:30,4.8
Andhra Pradesh,11-11-2020 08:30,1.2
Andhra Pradesh,12-09-2020 08:30,2.3
Andhra Pradesh,01-03-2018 08:30,5.2
Andhra Pradesh,02-01-2018 08:30,4.9
Andhra Pradesh,03-12-2018 08:30,4.3
Andhra Pradesh,04-06-2018 08:30,4.3
Andhra Pradesh,05-02-2018 08:30,8.1
Andhra Pradesh,06-07-2018 08:30,3.2
Andhra Pradesh,07-04-2018 08:30,4.6
Andhra Pradesh,08-07-2018 08:30,5.3
Andhra Pradesh,09-04-2018 08:30,6.4
Andhra Pradesh,10-04-2018 08:30,5.9
Andhra Pradesh,11-08-2018 08:30,4.8
Andhra Pradesh,12-03-2018 08:30,4
Andhra Pradesh,01-03-2019 08:30,5
Andhra Pradesh,02-05-2019 08:30,4.8
Andhra Pradesh,03-07-2019 08:30,4.8
Andhra Pradesh,04-03-2019 08:30,4.2
Andhra Pradesh,05-03-2019 08:30,4.5
Andhra Pradesh,06-02-2019 08:30,4.6
Andhra Pradesh,07-03-2019 08:30,5
Andhra Pradesh,08-05-2019 08:30,5.8
Andhra Pradesh,09-08-2019 08:30,5.6
Andhra Pradesh,10-03-2019 08:30,5.2
Andhra Pradesh,11-04-2019 08:30,5.4
Andhra Pradesh,12-03-2019 08:30,5
Andhra Pradesh,01-06-2020 08:30,5.2
Andhra Pradesh,02-05-2020 08:30,5
Andhra Pradesh,03-06-2020 08:30,4.8
Andhra Pradesh,04-08-2020 08:30,5.8
Andhra Pradesh,05-06-2020 08:30,5.8
Andhra Pradesh,06-10-2020 08:30,4.9
Andhra Pradesh,07-01-2020 08:30,5.4
Andhra Pradesh,08-04-2020 08:30,5.8
Andhra Pradesh,09-09-2020 08:30,6.1
Andhra Pradesh,10-07-2020 08:30,5.2
Andhra Pradesh,11-05-2020 08:30,4.5
Andhra Pradesh,12-02-2020 08:30,4.1
Andhra Pradesh,01-03-2018 08:30,5.9
Andhra Pradesh,02-01-2018 08:30,5.1
Andhra Pradesh,03-12-2018 08:30,5.1
Andhra Pradesh,04-06-2018 08:30,4.8
Andhra Pradesh,05-02-2018 08:30,5.1
Andhra Pradesh,06-07-2018 08:30,3.9
Andhra Pradesh,07-04-2018 08:30,4.5
Andhra Pradesh,08-07-2018 08:30,5.1
Andhra Pradesh,09-04-2018 08:30,6.6
Andhra Pradesh,10-04-2018 08:30,5.4
Andhra Pradesh,11-08-2018 08:30,5.8
Andhra Pradesh,12-03-2018 08:30,6.5
Andhra Pradesh,01-03-2019 08:30,4.8
Andhra Pradesh,02-05-2019 08:30,5
Andhra Pradesh,03-07-2019 08:30,5.2
Andhra Pradesh,04-03-2019 08:30,4.6
Andhra Pradesh,05-03-2019 08:30,4.9
Andhra Pradesh,06-02-2019 08:30,5.1
Andhra Pradesh,07-03-2019 08:30,5.4
Andhra Pradesh,08-05-2019 08:30,6
Andhra Pradesh,09-08-2019 08:30,5.8
Andhra Pradesh,10-03-2019 08:30,5.6
Andhra Pradesh,11-04-2019 08:30,5.6
Andhra Pradesh,12-03-2019 08:30,5.2
Andhra Pradesh,01-06-2020 08:30,5.2
Andhra Pradesh,02-05-2020 08:30,5.2
Andhra Pradesh,03-04-2020 08:30,5.1
Andhra Pradesh,04-08-2020 08:30,5.8
Andhra Pradesh,05-06-2020 08:30,6
Andhra Pradesh,06-06-2020 08:30,3.7
Andhra Pradesh,07-01-2020 08:30,5
Andhra Pradesh,08-04-2020 08:30,5.8
Andhra Pradesh,09-09-2020 08:30,5.8
Andhra Pradesh,10-07-2020 08:30,5.4
Andhra Pradesh,11-05-2020 08:30,4.8
Andhra Pradesh,12-02-2020 08:30,4.5
Andhra Pradesh,05-06-2019 08:30,2.1
Andhra Pradesh,07-11-2019 08:30,6.2
Andhra Pradesh,08-08-2019 08:30,4.2
Andhra Pradesh,09-12-2019 08:30,6
Andhra Pradesh,18-10-2019 08:30,3.7
Andhra Pradesh,14-11-2019 08:30,7.5
Andhra Pradesh,12-06-2019 08:30,4.2
Andhra Pradesh,17-01-2020 08:30,3.5
Andhra Pradesh,14-02-2020 08:30,4.5
Andhra Pradesh,03-10-2020 08:30,5
Andhra Pradesh,04-10-2020 08:30,4.2
Andhra Pradesh,14-05-2020 08:30,4.2
Andhra Pradesh,13-06-2020 08:30,3
Andhra Pradesh,14-07-2020 08:30,5.4
Andhra Pradesh,08-11-2020 08:30,5.4
Andhra Pradesh,14-09-2020 08:30,5
Andhra Pradesh,10-08-2020 08:30,3.6
Andhra Pradesh,11-09-2020 08:30,4
Andhra Pradesh,21-12-2020 08:30,0.5
Andhra Pradesh,25-01-2018 08:30,6.4
Andhra Pradesh,02-12-2018 08:30,6.5
Andhra Pradesh,03-07-2018 08:30,6.2
Andhra Pradesh,28-04-2018 08:30,6.2
Andhra Pradesh,14-05-2018 08:30,6.5
Andhra Pradesh,18-06-2018 08:30,5.5
Andhra Pradesh,07-07-2018 08:30,6.1
Andhra Pradesh,08-01-2018 08:30,5.8
Andhra Pradesh,09-04-2018 08:30,6.1
Andhra Pradesh,16-10-2018 08:30,7
Andhra Pradesh,20-11-2018 08:30,6
Andhra Pradesh,15-12-2018 08:30,6.1
Andhra Pradesh,01-08-2019 08:30,6.8
Andhra Pradesh,02-11-2019 08:30,6.2
Andhra Pradesh,03-08-2019 08:30,6.2
Andhra Pradesh,04-03-2019 08:30,5.8
Andhra Pradesh,05-03-2019 08:30,5.5
Andhra Pradesh,07-05-2019 08:30,5.5
Andhra Pradesh,08-03-2019 08:30,5.2
Andhra Pradesh,09-07-2019 08:30,6.5
Andhra Pradesh,10-05-2019 08:30,6.5
Andhra Pradesh,14-11-2019 08:30,5.8
Andhra Pradesh,12-07-2019 08:30,5
Andhra Pradesh,22-01-2020 08:30,5.2
Andhra Pradesh,02-11-2020 08:30,5.6
Andhra Pradesh,18-03-2020 08:30,4.5
Andhra Pradesh,04-11-2020 08:30,5.8
Andhra Pradesh,23-05-2020 08:30,4.2
Andhra Pradesh,06-04-2020 08:30,3.8
Andhra Pradesh,07-09-2020 08:30,3.8
Andhra Pradesh,18-08-2020 08:30,5.4
Andhra Pradesh,09-04-2020 08:30,6.8
Andhra Pradesh,10-07-2020 08:30,3.6
Andhra Pradesh,11-03-2020 08:30,5
Andhra Pradesh,18-12-2020 08:30,5.8
Andhra Pradesh,05-02-2019 08:30,0.8
Andhra Pradesh,06-11-2019 08:30,3.8
Andhra Pradesh,08-06-2019 08:30,1
Andhra Pradesh,03-10-2020 08:30,0.1
Andhra Pradesh,14-04-2020 08:30,2.8
Andhra Pradesh,05-04-2020 08:30,0.1
Andhra Pradesh,10-07-2020 08:30,0.3
Andhra Pradesh,11-05-2020 08:30,0.3
Andhra Pradesh,05-09-2018 08:30,2.3
Andhra Pradesh,06-08-2018 08:30,1.6
Andhra Pradesh,07-10-2018 08:30,3
Andhra Pradesh,08-08-2018 08:30,2.5
Andhra Pradesh,09-06-2018 08:30,5.4
Andhra Pradesh,10-05-2018 08:30,4.3
Andhra Pradesh,11-08-2018 08:30,3.6
Andhra Pradesh,12-05-2018 08:30,4.1
Andhra Pradesh,01-05-2019 08:30,5.6
Andhra Pradesh,02-02-2019 08:30,5.2
Andhra Pradesh,03-07-2019 08:30,4.6
Andhra Pradesh,05-02-2019 08:30,3.2
Andhra Pradesh,06-01-2019 08:30,2.6
Andhra Pradesh,08-01-2019 08:30,2.5
Andhra Pradesh,09-03-2019 08:30,1
Andhra Pradesh,01-03-2020 08:30,0.1
Andhra Pradesh,02-02-2020 08:30,1
Andhra Pradesh,03-06-2020 08:30,1.3
Andhra Pradesh,04-08-2020 08:30,2.4
Andhra Pradesh,05-08-2020 08:30,0.1
Andhra Pradesh,07-10-2020 08:30,1.9
Andhra Pradesh,08-04-2020 08:30,4.3
Andhra Pradesh,09-03-2020 08:30,3.8
Andhra Pradesh,10-01-2020 08:30,2.5
Andhra Pradesh,11-06-2020 08:30,3.8
Andhra Pradesh,12-03-2020 08:30,1.3
Andhra Pradesh,23-01-2018 08:30,6.6
Andhra Pradesh,02-03-2018 08:30,6.9
Andhra Pradesh,03-05-2018 08:30,6.6
Andhra Pradesh,23-04-2018 08:30,6.3
Andhra Pradesh,05-04-2018 08:30,6.1
Andhra Pradesh,06-06-2018 08:30,6.1
Andhra Pradesh,07-11-2018 08:30,6.5
Andhra Pradesh,15-08-2018 08:30,7.2
Andhra Pradesh,09-08-2018 08:30,6.8
Andhra Pradesh,10-11-2018 08:30,6
Andhra Pradesh,11-06-2018 08:30,6.5
Andhra Pradesh,12-05-2018 08:30,7.2
Andhra Pradesh,01-03-2019 08:30,6.6
Andhra Pradesh,02-05-2019 08:30,6.2
Andhra Pradesh,03-07-2019 08:30,6.2
Andhra Pradesh,04-10-2019 08:30,6.1
Andhra Pradesh,15-05-2019 08:30,5.8
Andhra Pradesh,06-12-2019 08:30,6.2
Andhra Pradesh,07-06-2019 08:30,6
Andhra Pradesh,08-03-2019 08:30,6.5
Andhra Pradesh,09-07-2019 08:30,7.2
Andhra Pradesh,17-10-2019 08:30,6.7
Andhra Pradesh,11-07-2019 08:30,6.5
Andhra Pradesh,12-04-2019 08:30,6.4
Andhra Pradesh,01-06-2020 08:30,6.4
Andhra Pradesh,02-12-2020 08:30,6.3
Andhra Pradesh,03-04-2020 08:30,6.4
Andhra Pradesh,15-04-2020 08:30,4.9
Andhra Pradesh,05-09-2020 08:30,5.6
Andhra Pradesh,06-08-2020 08:30,5.9
Andhra Pradesh,07-09-2020 08:30,5.2
Andhra Pradesh,08-10-2020 08:30,5.4
Andhra Pradesh,09-05-2020 08:30,6.5
Andhra Pradesh,10-03-2020 08:30,6.4
Andhra Pradesh,18-11-2020 08:30,6.1
Andhra Pradesh,12-11-2020 08:30,6
Andhra Pradesh,01-08-2018 08:30,7.2
Andhra Pradesh,02-07-2018 08:30,7.2
Andhra Pradesh,14-03-2018 08:30,7.1
Andhra Pradesh,04-10-2018 08:30,7
Andhra Pradesh,16-05-2018 08:30,7
Andhra Pradesh,13-06-2018 08:30,6.2
Andhra Pradesh,07-09-2018 08:30,7.6
Andhra Pradesh,08-06-2018 08:30,7.4
Andhra Pradesh,09-10-2018 08:30,7.2
Andhra Pradesh,10-05-2018 08:30,7
Andhra Pradesh,11-08-2018 08:30,6.8
Andhra Pradesh,12-05-2018 08:30,7.2
Andhra Pradesh,01-08-2019 08:30,7
Andhra Pradesh,02-08-2019 08:30,7.2
Andhra Pradesh,03-06-2019 08:30,7.5
Andhra Pradesh,15-04-2019 08:30,7.4
Andhra Pradesh,05-09-2019 08:30,7
Andhra Pradesh,06-10-2019 08:30,7.3
Andhra Pradesh,07-09-2019 08:30,7.1
Andhra Pradesh,08-08-2019 08:30,7.2
Andhra Pradesh,09-06-2019 08:30,7.1
Andhra Pradesh,10-10-2019 08:30,7.2
Andhra Pradesh,11-11-2019 08:30,7.3
Andhra Pradesh,12-06-2019 08:30,7.1
Andhra Pradesh,01-10-2020 08:30,7.4
Andhra Pradesh,02-06-2020 08:30,7.6
Andhra Pradesh,03-12-2020 08:30,7.3
Andhra Pradesh,15-04-2020 08:30,7.1
Andhra Pradesh,05-08-2020 08:30,6.9
Andhra Pradesh,06-06-2020 08:30,7.3
Andhra Pradesh,07-07-2020 08:30,7.1
Andhra Pradesh,08-07-2020 08:30,7.2
Andhra Pradesh,09-08-2020 08:30,7.1
Andhra Pradesh,10-08-2020 08:30,7.4
Andhra Pradesh,11-09-2020 08:30,7.1
Andhra Pradesh,12-10-2020 08:30,7.3
Andhra Pradesh,23-01-2018 08:30,7.2
Andhra Pradesh,15-02-2018 08:30,6.8
Andhra Pradesh,22-03-2018 08:30,6.9
Andhra Pradesh,04-03-2018 08:30,6
Andhra Pradesh,05-10-2018 08:30,6.5
Andhra Pradesh,14-06-2018 08:30,6.2
Andhra Pradesh,31-07-2018 08:30,6
Andhra Pradesh,16-08-2018 08:30,6.2
Andhra Pradesh,19-09-2018 08:30,6.5
Andhra Pradesh,10-04-2018 08:30,6.2
Andhra Pradesh,28-12-2018 08:30,5.9
Andhra Pradesh,22-01-2019 08:30,5.5
Andhra Pradesh,25-02-2019 08:30,5.7
Andhra Pradesh,23-03-2019 08:30,5.5
Andhra Pradesh,15-04-2019 08:30,5.2
Andhra Pradesh,30-05-2019 08:30,6
Andhra Pradesh,15-06-2019 08:30,5.2
Andhra Pradesh,07-12-2019 08:30,5.5
Andhra Pradesh,31-08-2019 08:30,5.2
Andhra Pradesh,21-09-2019 08:30,4.9
Andhra Pradesh,10-05-2019 08:30,5.4
Andhra Pradesh,11-07-2019 08:30,5.2
Andhra Pradesh,12-05-2019 08:30,4.9
Andhra Pradesh,18-01-2020 08:30,4.6
Andhra Pradesh,02-02-2020 08:30,4.9
Andhra Pradesh,03-09-2020 08:30,4.6
Andhra Pradesh,14-04-2020 08:30,4.8
Andhra Pradesh,05-01-2020 08:30,4.5
Andhra Pradesh,06-11-2020 08:30,4.8
Andhra Pradesh,07-08-2020 08:30,4.6
Andhra Pradesh,13-08-2020 08:30,4.4
Andhra Pradesh,16-09-2020 08:30,4.2
Andhra Pradesh,10-01-2020 08:30,4
Andhra Pradesh,11-09-2020 08:30,4.2
